Australia and Oceania,Tuvalu,Baby Food,Offline,C,822240674,8142,255.28,159.42,2078489.76,1297997.64,780492.12
Middle East and North Africa,Kuwait,Baby Food,Offline,L,528665816,2818,255.28,159.42,719379.04,449245.56,270133.48
Australia and Oceania,Marshall Islands,Cosmetics,Offline,C,457852494,7582,437.2,263.33,3314850.4,1996568.06,1318282.34
Australia and Oceania,Tonga,Fruits,Online,M,437974536,5253,9.33,6.92,49010.49,36350.76,12659.73
Australia and Oceania,Tonga,Household,Offline,C,817518270,678,668.27,502.54,453087.06,340722.12,112364.94
Australia and Oceania,Tonga,Cereal,Offline,C,215282523,5738,205.7,117.11,1180306.6,671977.18,508329.42
Australia and Oceania,East Timor,Clothes,Offline,L,470378625,4343,109.28,35.84,474603.04,155653.12,318949.92
Asia,Turkmenistan,Cosmetics,Online,M,792230403,7436,437.2,263.33,3251019.2,1958121.88,1292897.32
Sub-Saharan Africa,Mauritania,Personal Care,Online,H,910574185,7991,81.73,56.67,653104.43,452849.97,200254.46
Central America and the Caribbean,Dominican Republic,Fruits,Offline,C,625458800,6013,9.33,6.92,56101.29,41609.96,14491.33
Australia and Oceania,Nauru,Cosmetics,Online,L,257245576,3537,437.2,263.33,1546376.4,931398.21,614978.19
Sub-Saharan Africa,Madagascar,Meat,Online,H,196608340,9632,421.89,364.69,4063644.48,3512694.08,550950.4
Sub-Saharan Africa,Tanzania,Cereal,Online,M,454533421,5395,205.7,117.11,1109751.5,631808.45,477943.05
Europe,Macedonia,Beverages,Offline,L,212319648,8957,47.45,31.79,425009.65,284743.03,140266.62
Europe,Monaco,Household,Online,L,971578347,478,668.27,502.54,319433.06,240214.12,79218.94
Europe,Italy,Fruits,Offline,L,704233348,7152,9.33,6.92,66728.16,49491.84,17236.32
Central America and the Caribbean,Jamaica,Cosmetics,Online,C,602520978,8202,437.2,263.33,3585914.4,2159832.66,1426081.74
Sub-Saharan Africa,South Sudan,Cosmetics,Online,H,128990066,9882,437.2,263.33,4320410.4,2602227.06,1718183.34
Sub-Saharan Africa,Ghana,Meat,Online,H,166501939,479,421.89,364.69,202085.31,174686.51,27398.8
Europe,Bulgaria,Snacks,Online,C,768230426,5310,152.58,97.44,810199.8,517406.4,292793.4
Europe,Luxembourg,Fruits,Offline,M,707661855,1723,9.33,6.92,16075.59,11923.16,4152.43
Europe,Hungary,Fruits,Offline,M,628595054,4100,9.33,6.92,38253,28372,9881
Europe,Greece,Beverages,Offline,H,795141351,8850,47.45,31.79,419932.5,281341.5,138591
Australia and Oceania,Samoa,Vegetables,Offline,C,641724574,9417,154.06,90.93,1450783.02,856287.81,594495.21
Sub-Saharan Africa,Benin,Meat,Offline,H,123081052,1273,421.89,364.69,537065.97,464250.37,72815.6
Europe,Belgium,Meat,Offline,M,164259612,6924,421.89,364.69,2921166.36,2525113.56,396052.8
